experiment_id,repetition,timestamp,condition,configured_bandwidth_mbps,configured_delay_ms,configured_jitter_ms,configured_packet_loss_percent,measured_packet_loss_percent,min_latency_ms,avg_latency_ms,max_latency_ms,measured_jitter_ms
1,1,2026-09-13 21:26:10,Excellent,50,0,0,0,0.0,47.9,51.657,61.8,2.239
2,2,2026-09-13 21:28:38,Excellent,50,0,0,0,5.0,47.5,53.099,137.0,3.85
3,3,2026-09-13 21:30:26,Excellent,50,0,0,0,0.0,54.9,59.477,68.8,2.506
4,4,2026-09-13 21:32:13,Excellent,50,0,0,0,0.0,48.0,52.145,61.4,2.419
5,5,2026-09-13 21:34:01,Excellent,50,0,0,0,0.0,51.7,56.494,91.7,3.101
6,1,2026-09-13 21:35:48,Excellent,50,30,5,0,0.0,75.9,82.567,106.0,4.662
7,2,2026-09-13 21:37:36,Excellent,50,30,5,0,0.0,74.8,82.189,110.0,4.682
8,3,2026-09-13 21:39:24,Excellent,50,30,5,0,1.0,81.5,88.991,118.0,4.94
9,4,2026-09-13 21:42:22,Excellent,50,30,5,0,1.0,72.3,81.2,91.4,4.452
10,5,2026-09-13 21:44:10,Excellent,50,30,5,0,0.0,78.4,86.346,97.5,4.432
11,1,2026-09-13 21:45:58,Excellent,20,0,0,0,0.0,47.1,51.145,76.4,2.325
12,2,2026-09-13 21:48:52,Excellent,20,0,0,0,1.0,50.5,55.894,75.6,3.234
13,3,2026-09-13 21:50:40,Excellent,20,0,0,0,0.0,50.9,55.545,64.9,2.285
14,4,2026-09-13 21:52:28,Excellent,20,0,0,0,0.0,50.2,57.238,185.0,9.271
15,5,2026-09-13 21:54:16,Excellent,20,0,0,0,0.0,54.4,67.82,252.0,15.89
16,1,2026-09-13 22:13:23,Good,20,30,5,0.5,1.0,72.7,90.359,224.0,12.772
17,2,2026-09-13 22:15:20,Good,20,30,5,0.5,3.0,77.9,90.947,296.0,13.142
18,3,2026-09-13 22:17:09,Good,20,30,5,0.5,1.0,79.7,94.797,209.0,12.531
19,4,2026-09-13 22:18:58,Good,20,30,5,0.5,1.0,80.5,88.592,127.0,5.447
20,5,2026-09-13 22:20:46,Good,20,30,5,0.5,1.0,75.9,85.482,174.0,6.248
21,1,2026-09-13 22:22:34,Good,20,50,10,0.5,0.0,89.7,103.13,122.0,8.235
22,2,2026-09-13 22:24:22,Good,20,50,10,0.5,1.0,89.7,100.857,117.0,7.688
23,3,2026-09-13 22:26:11,Good,20,50,10,0.5,1.0,96.0,113.553,340.0,13.666
24,4,2026-09-13 22:27:59,Good,20,50,10,0.5,0.0,93.6,106.618,134.0,8.115
25,5,2026-09-13 22:29:48,Good,20,50,10,0.5,3.0,92.1,104.466,127.0,8.46
26,1,2026-09-13 22:31:36,Good,10,30,5,0,0.0,79.4,91.38,192.0,7.744
27,2,2026-09-13 22:33:23,Good,10,30,5,0,0.0,73.8,82.456,111.0,5.253
28,3,2026-09-13 22:35:11,Good,10,30,5,0,0.0,75.8,88.546,212.0,10.308
29,4,2026-09-13 22:36:59,Good,10,30,5,0,1.0,78.0,84.111,97.4,4.232
30,5,2026-09-13 22:38:48,Good,10,30,5,0,2.0,76.3,85.627,176.0,7.133
31,1,2026-09-13 22:40:36,Good,10,50,10,0.5,1.0,97.3,109.528,127.0,8.342
32,2,2026-09-13 22:42:25,Good,10,50,10,0.5,1.0,95.0,109.984,167.0,9.863
33,3,2026-09-13 22:44:14,Good,10,50,10,0.5,2.0,90.1,102.149,123.0,7.367
34,4,2026-09-13 22:46:01,Good,10,50,10,0.5,0.0,91.1,103.836,121.0,8.239
35,5,2026-09-13 22:47:49,Good,10,50,10,0.5,0.0,93.3,108.263,186.0,9.885
36,1,2026-09-13 22:49:38,Moderate,10,100,10,2,3.0,141.0,152.526,169.0,7.125
37,2,2026-09-13 22:51:27,Moderate,10,100,10,2,1.0,145.0,161.495,196.0,10.102
38,3,2026-09-13 22:53:16,Moderate,10,100,10,2,3.0,141.0,154.01,175.0,7.625
39,4,2026-09-13 22:55:04,Moderate,10,100,10,2,1.0,139.0,150.636,180.0,7.98
40,5,2026-09-13 22:56:53,Moderate,10,100,10,2,1.0,142.0,157.192,267.0,11.286
41,1,2026-09-13 22:58:42,Moderate,10,150,20,2,1.0,184.0,210.0,265.0,17.806
42,2,2026-09-13 23:00:30,Moderate,10,150,20,2,2.0,185.0,208.98,263.0,15.825
43,3,2026-09-13 23:02:19,Moderate,10,150,20,2,2.0,182.0,207.612,249.0,17.082
44,4,2026-09-13 23:04:08,Moderate,10,150,20,2,3.0,182.0,205.577,243.0,14.521
45,5,2026-09-13 23:05:57,Moderate,10,150,20,2,2.0,187.0,208.378,236.0,14.474
