experiment_id,repetition,timestamp,condition,configured_bandwidth_mbps,configured_delay_ms,configured_jitter_ms,configured_packet_loss_percent,measured_packet_loss_percent,min_latency_ms,avg_latency_ms,max_latency_ms,measured_jitter_ms,latency_range_ms,latency_variability_ms,latency_ratio,loss_difference_percent,loss_ratio,jitter_latency_ratio,network_stability_score,network_quality_score
1,1,2026-09-13 21:26:10,Excellent,50,0,0,0.0,0.0,47.9,51.657,61.8,2.239,13.899999999999999,10.143,1.0784342379958245,0.0,1.2,0.0433435933174594,0.9342923765488304,93.42923765488302
2,2,2026-09-13 21:28:38,Excellent,50,0,0,0.0,5.0,47.5,53.099,137.0,3.85,89.5,83.90100000000001,1.1178736842105264,5.0,1.2,0.07250607356070736,0.8810812718049691,88.1081271804969
3,3,2026-09-13 21:30:26,Excellent,50,0,0,0.0,0.0,54.9,59.477,68.8,2.506,13.899999999999999,9.323,1.0833697632058288,0.0,1.2,0.042133934125796524,0.9247123373834137,92.47123373834137
4,4,2026-09-13 21:32:13,Excellent,50,0,0,0.0,0.0,48.0,52.145,61.4,2.419,13.399999999999999,9.254999999999995,1.0863541666666667,0.0,1.2,0.04638987438872375,0.9328613835830661,93.28613835830662
5,5,2026-09-13 21:34:01,Excellent,50,0,0,0.0,0.0,51.7,56.494,91.7,3.101,40.0,35.206,1.0927272727272728,0.0,1.2,0.05489078486210925,0.9248122111351905,92.48122111351907
6,1,2026-09-13 21:35:48,Excellent,50,30,5,0.0,0.0,75.9,82.567,106.0,4.662,30.099999999999994,23.433000000000007,1.087839262187088,0.0,1.2,0.05646323591749731,0.8894494370152205,88.94494370152204
7,2,2026-09-13 21:37:36,Excellent,50,30,5,0.0,0.0,74.8,82.189,110.0,4.682,35.2,27.811000000000007,1.098783422459893,0.0,1.2,0.056966260691820085,0.8897446645813764,88.97446645813763
8,3,2026-09-13 21:39:24,Excellent,50,30,5,0.0,1.0,81.5,88.991,118.0,4.94,36.5,29.009,1.0919141104294479,1.0,1.2,0.055511231472845576,0.872584707362925,87.25847073629251
9,4,2026-09-13 21:42:22,Excellent,50,30,5,0.0,1.0,72.3,81.2,91.4,4.452,19.10000000000001,10.200000000000003,1.1230982019363762,1.0,1.2,0.054827586206896546,0.8832615527494696,88.32615527494696
10,5,2026-09-13 21:44:10,Excellent,50,30,5,0.0,0.0,78.4,86.346,97.5,4.432,19.099999999999994,11.153999999999996,1.1013520408163264,0.0,1.2,0.05132837653162857,0.8866512370539761,88.6651237053976
11,1,2026-09-13 21:45:58,Excellent,20,0,0,0.0,0.0,47.1,51.145,76.4,2.325,29.300000000000004,25.255000000000003,1.0858811040339702,0.0,1.2,0.045458989148499364,0.9343917715569502,93.439177155695
12,2,2026-09-13 21:48:52,Excellent,20,0,0,0.0,1.0,50.5,55.894,75.6,3.234,25.099999999999994,19.705999999999996,1.1068118811881187,1.0,1.2,0.05785951980534584,0.9160686952379736,91.60686952379737
13,3,2026-09-13 21:50:40,Excellent,20,0,0,0.0,0.0,50.9,55.545,64.9,2.285,14.000000000000007,9.355000000000004,1.0912573673870334,0.0,1.2,0.041137816185075164,0.9299717992969023,92.99717992969023
14,4,2026-09-13 21:52:28,Excellent,20,0,0,0.0,0.0,50.2,57.238,185.0,9.271,134.8,127.762,1.140199203187251,0.0,1.2,0.1619728152625878,0.8925582353931524,89.25582353931523
15,5,2026-09-13 21:54:16,Excellent,20,0,0,0.0,0.0,54.4,67.82,252.0,15.89,197.6,184.18,1.2466911764705881,0.0,1.2,0.2342966676496609,0.8476751331105599,84.76751331105599
16,1,2026-09-13 22:13:23,Good,20,30,5,0.5,1.0,72.7,90.359,224.0,12.772,151.3,133.64100000000002,1.2429023383768911,0.5,2.0,0.14134729246671612,0.8311973902277371,83.11973902277371
17,2,2026-09-13 22:15:20,Good,20,30,5,0.5,3.0,77.9,90.947,296.0,13.142,218.1,205.053,1.1674839537869062,2.5,6.0,0.14450174277326353,0.8113008448808623,81.13008448808621
