timestamp,packet_loss_percent,min_latency_ms,avg_latency_ms,max_latency_ms,jitter_ms,latency_range_ms
2026-09-15 14:44:14,0.0,30.2,43.6,86.0,16.433,55.8
2026-09-15 14:44:32,0.0,30.0,40.36,94.3,11.656,64.3
2026-09-15 14:44:46,0.0,32.0,35.36,39.9,2.556,7.9
2026-09-15 14:45:02,0.0,30.2,32.04,34.9,1.9,4.7
2026-09-15 14:45:20,0.0,31.1,36.7,63.1,5.444,32.0
2026-09-15 14:45:34,0.0,29.6,32.23,36.3,2.589,6.7
2026-09-15 14:45:49,0.0,28.7,32.8,42.3,4.7,13.6
2026-09-15 14:46:04,0.0,38.8,44.64,77.9,5.5,39.1
2026-09-15 14:46:23,0.0,38.2,40.83,46.7,2.189,8.5
2026-09-15 14:46:40,0.0,30.2,32.4,36.6,2.478,6.4
