timestamp,packet_loss_percent,min_latency_ms,avg_latency_ms,max_latency_ms,jitter_ms,latency_range_ms
2026-09-15 14:58:54,0.0,36.1,38.46,41.4,2.267,5.3
2026-09-15 14:59:08,0.0,28.0,31.32,39.7,3.4,11.7
2026-09-15 14:59:23,0.0,50.8,52.48,57.4,1.4,6.6
2026-09-15 14:59:41,0.0,50.0,54.57,66.6,2.967,16.6
2026-09-15 14:59:57,0.0,50.1,52.31,54.8,1.5,4.7
2026-09-15 15:00:14,0.0,28.7,31.5,33.8,1.733,5.1
2026-09-15 15:00:31,0.0,29.6,32.96,35.7,2.267,6.1
2026-09-15 15:00:46,0.0,31.3,33.82,36.2,1.967,4.9
2026-09-15 15:01:00,0.0,51.3,53.81,58.8,2.756,7.5
2026-09-15 15:01:15,0.0,29.9,32.14,34.2,2.044,4.3
2026-09-15 15:01:34,0.0,32.0,33.97,36.6,1.311,4.6
2026-09-15 15:01:51,0.0,51.2,75.82,154.0,12.389,102.8
2026-09-15 15:02:05,0.0,48.5,52.23,59.9,3.889,11.4
2026-09-15 15:02:19,0.0,31.3,34.88,37.5,2.044,6.2
2026-09-15 15:02:34,0.0,48.4,51.85,54.4,2.433,6.0
2026-09-15 15:03:19,0.0,50.3,64.82,175.0,28.833,124.7
2026-09-15 15:03:34,10.0,28.8,31.944,37.6,4.125,8.8
2026-09-15 15:03:49,0.0,39.4,49.96,94.2,13.456,54.8
2026-09-15 15:04:04,0.0,49.4,53.03,58.4,2.0,9.0
2026-09-15 15:04:19,0.0,36.5,41.54,56.1,6.311,19.6
2026-09-15 15:04:34,0.0,30.9,33.84,38.6,2.844,7.7
2026-09-15 15:04:48,0.0,49.7,53.63,59.2,3.833,9.5
2026-09-15 15:05:08,0.0,49.0,54.46,64.1,4.756,15.1
2026-09-15 15:05:23,0.0,50.4,56.68,77.3,7.544,26.9
2026-09-15 15:05:40,0.0,28.2,37.47,78.5,6.056,50.3
2026-09-15 15:05:54,0.0,30.1,33.77,41.4,3.9,11.3
2026-09-15 15:06:08,0.0,49.9,53.03,56.7,2.311,6.8
2026-09-15 15:06:30,0.0,29.7,45.63,79.3,22.711,49.6
2026-09-15 15:06:46,0.0,49.8,58.79,102.0,13.933,52.2
2026-09-15 15:07:04,0.0,49.6,64.54,170.0,29.333,120.4
2026-09-15 15:07:18,0.0,49.2,51.96,56.1,3.411,6.9
2026-09-15 15:07:32,0.0,50.1,53.88,59.3,4.067,9.2
2026-09-15 15:07:47,0.0,28.7,32.28,36.0,2.322,7.3
2026-09-15 15:08:01,0.0,51.2,62.43,140.0,21.644,88.8
2026-09-15 15:08:17,10.0,30.4,37.444,60.0,8.188,29.6
2026-09-15 15:08:34,0.0,27.7,32.86,36.3,2.189,8.6
2026-09-15 15:08:51,0.0,29.3,32.9,36.3,2.833,7.0
