condition,configured_bandwidth_mbps,configured_delay_ms,configured_jitter_ms,configured_packet_loss_percent,mean_latency_ms,std_latency_ms,mean_jitter_ms,std_jitter_ms,mean_packet_loss_percent,std_packet_loss_percent,mean_latency_range_ms,std_latency_range_ms,latency_cv,jitter_cv,packet_loss_cv,network_volatility_score,network_stability_score_v2
Excellent,20,0,0,0.0,57.5284,6.191815105443634,6.601000000000001,5.951116323850509,0.2,0.447213595499958,80.16,81.81254793734271,0.10763058081649471,0.9015476933571441,2.23606797749979,3.2452462516734286,0.23555759565321122
Excellent,50,0,0,0.0,54.574400000000004,3.328301488747675,2.823,0.6589336081882605,1.0,2.2360679774997894,34.14,32.97169998650358,0.06098649712589922,0.2334160850826286,2.2360679774997894,2.5304705597083172,0.2832483611143945
Excellent,50,30,5,0.0,84.2586,3.288336859264881,4.6335999999999995,0.2065497518759101,0.4,0.5477225575051661,28.0,8.469356528095862,0.039026720824519766,0.04457651758371679,1.369306393762915,1.4529096321711517,0.40767910357743864
Good,10,30,5,0.0,86.424,3.5635313244028026,6.934,2.3561696670655956,0.6,0.8944271909999159,81.02000000000001,50.26999104833816,0.04123312186895772,0.33979949049114444,1.4907119849998598,1.871744597359962,0.3482203817565514
Good,10,50,10,0.5,106.752,3.5399783191426453,8.7392,1.1030281954691816,0.8,0.8366600265340756,51.44000000000001,29.17803968740875,0.033160768127460334,0.126216151989791,1.0458250331675945,1.2052019532848457,0.4534732061661793
Good,20,30,5,0.5,90.03540000000001,3.406810135596047,10.028,3.832933015329123,1.4,0.8944271909999159,128.66,63.63307316168219,0.03783856278303919,0.38222307691754315,0.6388765649999399,1.0589382047005222,0.4856872332141957
Good,20,50,10,0.5,105.7248,4.850040278183266,9.232800000000001,2.494091558062775,1.0,1.224744871391589,75.78,94.15639649009513,0.045874196765406654,0.27013382268247715,1.224744871391589,1.5407528908394728,0.3935841236687905
Moderate,5,100,10,1.0,155.1386,2.708120436760521,8.1614,0.5881915504323402,2.0,2.1213203435596424,47.2,14.855975228843107,0.01745613558946981,0.07206993290763106,1.0606601717798212,1.150186240276922,0.46507599261318416
Moderate,5,150,20,2.0,205.8574,3.998415848808123,15.0114,0.7370100406371678,3.6,1.51657508881031,72.4,28.23650119968832,0.01942323107553152,0.049096689225333265,0.4212708580028639,0.4897907783037287,0.6712351925943567
Moderate,10,100,10,2.0,155.17180000000002,4.271638584899245,8.8236,1.7840449265643505,1.8,1.0954451150103321,55.8,39.619439672968625,0.027528446437427703,0.20219014082283313,0.6085806194501845,0.8382992067104453,0.5439810866205266
Moderate,10,150,20,2.0,208.1094,1.6631983645975652,15.9416,1.4968340923429033,2.0,0.7071067811865476,67.2,13.007690033207279,0.007991942529254158,0.09389484696284585,0.3535533905932738,0.4554401800853738,0.6870773623559998
Poor,2,200,20,5.0,262.8422,2.986086351731971,17.0322,1.8622358067656188,4.6,2.6076809620810595,90.4,22.645087767549057,0.011360756955055052,0.109336187149377,0.5668871656697956,0.6875841097742277,0.5925630575733404
Poor,2,250,30,5.0,311.0674,3.2226996912526564,23.1814,4.183912977106478,5.0,2.23606797749979,117.8,60.78815674126006,0.010360133177737867,0.18048577640291258,0.447213595499958,0.6380595050806084,0.6104784331084421
Poor,5,200,20,5.0,257.1694,3.1327900184978823,16.4636,2.4534065704648307,4.4,2.073644135332772,92.8,30.28530997034701,0.012181814860157866,0.1490200545728049,0.4712827580301754,0.6324846274631382,0.6125631954978885
Poor,5,250,30,5.0,316.79,5.973752254655363,30.132600000000004,7.302829609130971,7.4,3.361547262794322,204.8,25.907527863538043,0.018857136445769633,0.24235643818093924,0.45426314362085435,0.7154767182475632,0.5829283425201742
Very Poor,1,300,30,10.0,360.9366,5.5594665931184375,24.571199999999997,3.9556761368949283,10.6,1.8165902124584947,119.6,43.60389890823984,0.015402889574286557,0.160988317090534,0.17137643513759385,0.3477676418024144,0.7419676574685135
Very Poor,1,400,50,15.0,465.62219999999996,6.003637372460139,38.775600000000004,5.351481318289356,18.6,4.393176527297759,172.4,43.8782406210641,0.012893795382737635,0.13801156702383344,0.23619228641385798,0.3870976488204291,0.7209297779795011
Very Poor,2,300,30,8.0,363.8328,6.264706274040317,28.788599999999995,6.172229402736097,7.6,3.2093613071762426,172.4,62.97062807372974,0.017218640743881027,0.214398386956507,0.42228438252318984,0.6539014102235778,0.6046309615666982
Very Poor,2,400,50,10.0,469.13779999999997,3.797427839999083,47.915800000000004,9.870982560008905,13.0,3.082207001484488,336.0,202.28692493584452,0.008094482772437189,0.20600684033260228,0.23709284626803753,0.451194169373077,0.6890876638734049
Very Poor,2,400,50,15.0,462.84220000000005,5.173673762424539,37.6168,6.800543632681141,16.6,2.7928480087537886,166.0,44.65982534672521,0.011178051099110103,0.18078474598267638,0.16824385594902339,0.3602066530308099,0.7351824061232181
