sample_number,timestamp,state,configured_bandwidth_mbps,configured_delay_ms,configured_jitter_ms,configured_packet_loss_percent,measured_packet_loss_percent,min_latency_ms,avg_latency_ms,max_latency_ms,measured_jitter_ms,latency_range_ms
1,2026-09-15 16:04:56,Good,20.0,30.0,5.0,0.0,0.0,61.6,160.21,902.0,112.856,840.4
2,2026-09-15 16:05:14,Good,20.0,30.0,5.0,0.0,0.0,59.7,65.97,73.7,5.967,14.0
3,2026-09-15 16:05:27,Good,20.0,30.0,5.0,0.0,0.0,58.0,85.59,188.0,44.367,130.0
4,2026-09-15 16:05:43,Good,20.0,30.0,5.0,0.0,0.0,59.1,78.26,134.0,15.933,74.9
5,2026-09-15 16:05:55,Good,20.0,30.0,5.0,0.0,0.0,60.0,96.29,123.0,20.856,63.0
6,2026-09-15 16:06:07,Good,20.0,30.0,5.0,0.0,0.0,60.0,97.49,166.0,42.267,106.0
7,2026-09-15 16:06:20,Good,20.0,30.0,5.0,0.0,0.0,53.7,79.0,154.0,36.467,100.3
8,2026-09-15 16:06:35,Good,20.0,30.0,5.0,0.0,10.0,57.3,68.3,81.5,8.838,24.2
9,2026-09-15 16:06:47,Good,20.0,30.0,5.0,0.0,0.0,60.2,77.55,123.0,17.633,62.8
10,2026-09-15 16:07:04,Good,20.0,30.0,5.0,0.0,0.0,52.7,69.42,112.0,13.867,59.3
11,2026-09-15 16:07:24,Moderate,5.0,100.0,10.0,2.0,10.0,130.0,149.222,176.0,13.0,46.0
12,2026-09-15 16:07:44,Moderate,5.0,100.0,10.0,2.0,0.0,127.0,993.9,8696.0,956.889,8569.0
13,2026-09-15 16:07:58,Moderate,5.0,100.0,10.0,2.0,10.0,124.0,143.889,199.0,23.875,75.0
14,2026-09-15 16:08:10,Moderate,5.0,100.0,10.0,2.0,0.0,126.0,140.2,163.0,13.111,37.0
15,2026-09-15 16:08:23,Moderate,5.0,100.0,10.0,2.0,0.0,122.0,156.6,337.0,54.0,215.0
16,2026-09-15 16:08:44,Moderate,5.0,100.0,10.0,2.0,0.0,133.0,490.7,2593.0,317.556,2460.0
17,2026-09-15 16:09:09,Moderate,5.0,100.0,10.0,2.0,10.0,132.0,316.0,453.0,104.375,321.0
18,2026-09-15 16:09:32,Moderate,5.0,100.0,10.0,2.0,0.0,121.0,246.3,469.0,68.667,348.0
19,2026-09-15 16:09:49,Moderate,5.0,100.0,10.0,2.0,0.0,134.0,358.9,613.0,156.333,479.0
20,2026-09-15 16:10:03,Moderate,5.0,100.0,10.0,2.0,10.0,121.0,185.111,482.0,71.375,361.0
21,2026-09-15 16:10:21,Poor,2.0,200.0,20.0,5.0,0.0,216.0,241.9,324.0,30.778,108.0
22,2026-09-15 16:10:38,Poor,2.0,200.0,20.0,5.0,10.0,224.0,437.444,781.0,168.5,557.0
23,2026-09-15 16:10:53,Poor,2.0,200.0,20.0,5.0,10.0,218.0,250.889,295.0,24.625,77.0
24,2026-09-15 16:11:08,Poor,2.0,200.0,20.0,5.0,0.0,230.0,485.3,1254.0,180.444,1024.0
25,2026-09-15 16:11:21,Poor,2.0,200.0,20.0,5.0,20.0,221.0,242.75,290.0,30.571,69.0
26,2026-09-15 16:11:38,Poor,2.0,200.0,20.0,5.0,10.0,230.0,441.111,855.0,209.625,625.0
27,2026-09-15 16:11:55,Poor,2.0,200.0,20.0,5.0,10.0,238.0,506.222,782.0,199.875,544.0
28,2026-09-15 16:12:22,Poor,2.0,200.0,20.0,5.0,10.0,216.0,396.444,704.0,277.625,488.0
29,2026-09-15 16:12:35,Poor,2.0,200.0,20.0,5.0,0.0,213.0,233.1,255.0,15.889,42.0
30,2026-09-15 16:12:52,Poor,2.0,200.0,20.0,5.0,20.0,221.0,484.125,1092.0,340.571,871.0
31,2026-09-15 16:13:12,Moderate,5.0,100.0,10.0,2.0,0.0,174.0,274.3,418.0,88.556,244.0
32,2026-09-15 16:13:25,Moderate,5.0,100.0,10.0,2.0,0.0,126.0,144.1,186.0,19.444,60.0
33,2026-09-15 16:13:41,Moderate,5.0,100.0,10.0,2.0,0.0,134.0,295.3,566.0,127.333,432.0
34,2026-09-15 16:13:54,Moderate,5.0,100.0,10.0,2.0,0.0,124.0,169.6,343.0,57.222,219.0
35,2026-09-15 16:14:08,Moderate,5.0,100.0,10.0,2.0,0.0,123.0,203.5,457.0,72.444,334.0
36,2026-09-15 16:14:30,Moderate,5.0,100.0,10.0,2.0,20.0,139.0,263.75,304.0,61.571,165.0
37,2026-09-15 16:14:42,Moderate,5.0,100.0,10.0,2.0,0.0,128.0,136.8,144.0,5.556,16.0
38,2026-09-15 16:15:02,Moderate,5.0,100.0,10.0,2.0,0.0,129.0,249.5,415.0,65.333,286.0
39,2026-09-15 16:15:15,Moderate,5.0,100.0,10.0,2.0,0.0,134.0,147.0,180.0,15.556,46.0
40,2026-09-15 16:15:37,Moderate,5.0,100.0,10.0,2.0,0.0,152.0,280.5,393.0,100.556,241.0
