packet_loss_percent,min_latency_ms,avg_latency_ms,max_latency_ms,jitter_ms,network_condition
0.0,58.643,61.561,63.449,1.813,Good
0.0,51.752,53.479,57.197,1.559,Good
0.0,52.364,54.059,59.844,2.075,Good
0.0,51.974,53.788,57.108,1.581,Good
0.0,50.101,53.4,55.597,1.621,Good
0.0,59.479,62.578,66.374,2.353,Good
0.0,61.39,64.305,68.775,2.214,Good
40.0,204.0,213.833,245.0,10.2,Poor
0.0,248.0,457.6,763.0,233.778,Poor
20.0,203.0,249.125,332.0,70.286,Poor
10.0,203.0,228.444,321.0,32.0,Poor
0.0,206.0,379.5,625.0,168.111,Poor
